,date,volcano,clear_1,clear_2,clear_3,clear_4,clear_5,clear_6,clear_7,clear_8
29,2018-09-01,7.920746725176286e-08,5.106646838726192e-08,-1.242739102735868e-07,3.919340940683469e-08,5.7134418085524885e-08,-1.495839256904219e-07,-1.351000832983118e-06,-5.8496119059725515e-09,-8.261645234597381e-07
30,2018-09-02,0.0,-1.019068562868597e-08,-1.872659680657307e-07,0.0,-3.1212298523541904e-08,-2.54917182473946e-07,5.267987290835663e-08,0.0,0.0
31,2018-09-04,-5.673954888152366e-07,2.0517459233815316e-06,-3.9370931403936993e-07,2.4909732943001472e-08,-1.6393300938943867e-06,8.103103965595437e-08,3.3501322604934103e-07,2.732392445636833e-08,-8.596401812610566e-07
32,2018-09-05,0.0,3.2895677293254266e-08,0.0,0.0,-5.987258191453293e-07,0.0,4.284570209733829e-08,0.0,-5.810508696413308e-07
33,2018-09-06,4.236686663716682e-07,5.59580541903415e-07,-8.19081606096006e-07,1.821864992201938e-09,-3.0034379960852675e-07,1.466504357949816e-07,-1.1018116197192285e-07,-4.6931353381296503e-07,3.4407751314802226e-08
34,2018-09-07,9.217873753186723e-07,-1.5698903155225707e-07,-4.1340879874951497e-07,6.682332553964443e-08,-1.8516337263463356e-07,4.5122385472495807e-07,1.9294034814265615e-07,1.0491413604540867e-07,1.189797913525581e-07
35,2018-09-09,0.0,3.517211098369444e-06,1.3547703474614536e-06,-2.9072532470308943e-07,0.0,0.0,4.526742486632429e-06,0.0,0.0
36,2018-09-10,2.557311233886139e-07,-8.836163374326134e-07,-4.918383638141677e-07,-2.646362133873481e-07,-1.2238351700943895e-06,-1.1315174930359717e-07,-1.646292048462783e-06,3.2604876309960673e-07,-4.207302595204965e-08
37,2018-09-11,-2.0282371337998484e-08,-5.0085880332062516e-08,9.71098756963329e-09,4.576201817485526e-08,-7.004969120316673e-07,2.2660354659365112e-07,0.0,-2.96131545951539e-08,4.063656717789854e-07
38,2018-09-12,9.00536122117046e-07,-2.589253256246593e-07,1.0156513781112153e-06,3.320722328226111e-07,3.097755154612969e-07,-9.832884728666613e-08,3.996241559889313e-07,4.115845797514339e-07,1.908035329734048e-07
39,2018-09-13,4.08865980716655e-06,8.928423085308168e-07,-8.997476896865919e-08,3.0016403229637945e-07,9.161088314613153e-07,-3.968077635363443e-07,8.696381570416634e-08,5.49258686532994e-07,1.1242905202379916e-06
40,2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-09-15,-2.4113478502840735e-07,1.3743057252213475e-06,4.6668464648291774e-08,-3.6877287357128807e-07,1.9126773054267687e-07,3.3380791819581646e-07,1.5413195342262043e-07,4.983772896594019e-07,1.143157192018407e-06
42,2018-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2018-09-17,0.0,-2.8340022595330083e-07,-3.962902610510355e-07,0.0,-1.154820552073943e-06,-2.1792214255356157e-08,-2.0189149907423598e-08,-9.071263917803662e-08,-4.835370859268551e-08
44,2018-09-18,0.0,-2.990968255289772e-07,-2.710200419642206e-07,0.0,-6.635182359104874e-08,-3.244769075649856e-08,5.5643109675429514e-08,0.0,0.0
45,2018-09-20,0.0,0.0,0.0,0.0,1.090157411454129e-06,0.0,2.0370413267301046e-07,0.0,0.0
46,2018-09-21,0.0,0.0,0.0,0.0,6.986785816565089e-09,-4.764070915541652e-09,0.0,0.0,0.0
47,2018-09-22,0.0,0.0,0.0,0.0,1.064794901139976e-06,2.797921183628205e-07,0.0,0.0,1.623613421486425e-08
48,2018-09-23,1.5205101178139557e-08,-1.1231557550672733e-07,-1.2784981606728252e-07,0.0,-7.913313879726047e-07,-3.022154970722113e-08,2.409507828815549e-07,0.0,-2.359297113230241e-08
49,2018-09-25,0.0,-1.3410340216069017e-07,-6.175209250613989e-07,-2.1147776863017498e-08,0.0,0.0,-1.5555866639260785e-06,0.0,0.0
50,2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2018-09-28,0.0,0.0,0.0,0.0,2.334575981421949e-07,0.0,2.189613645953159e-08,0.0,0.0
53,2018-09-29,0.0,6.273582897620145e-08,-1.7095429427627096e-07,0.0,-4.790649654751178e-08,-1.6994265195080516e-07,-7.548470648544026e-08,0.0,0.0
54,2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2018-10-01,0.0,0.0,0.0,0.0,-9.721967444420443e-07,0.0,0.0,0.0,0.0
56,2018-10-02,5.168474359606989e-08,-1.977255550400514e-07,-1.4551027938125571e-08,0.0,3.540804414114973e-07,1.4769869771669164e-08,-3.8630787457805127e-07,-8.818053487402722e-08,0.0
57,2018-10-03,-3.054645958400215e-07,4.134808762046305e-07,1.357011996105939e-07,0.0,-3.5556206512410427e-07,-3.3812217026252256e-08,5.562959017879621e-07,0.0,1.3453696823262362e-08
58,2018-10-04,6.719136536048609e-07,-3.653474038856075e-07,1.1775223356380593e-06,-3.170705653587902e-08,7.239262345137831e-07,-7.761858711319292e-08,3.4178654573224776e-07,0.0,-6.42873601464089e-07
59,2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2018-10-06,0.0,0.0,0.0,0.0,-1.528778284409782e-06,-2.1040487752088666e-07,0.0,6.298562027495791e-08,0.0
61,2018-10-07,0.0,0.0,0.0,0.0,-1.9419926502450835e-06,-4.126495696255006e-07,0.0,-3.9549357211399183e-07,0.0
62,2018-10-09,1.7024742504645474e-08,1.3059366210654844e-07,-2.2109696828920278e-07,8.328834866233592e-08,-1.7717278524287394e-06,2.7619506681730854e-08,-1.274264178618978e-07,0.0,7.42370644957191e-08
63,2018-10-10,3.1721281175123295e-06,-6.518833401969459e-07,4.889935780738597e-07,-1.0159168084555859e-07,-1.2956023454080423e-07,-1.9745469703735807e-09,6.923219757482002e-07,3.0314345167425927e-07,1.90268167443719e-06
64,2018-10-11,0.0,2.9031096460130357e-07,4.90704167077638e-07,-8.659342398686931e-08,0.0,0.0,1.1183518608959275e-06,0.0,0.0
65,2018-10-12,1.6210557873819198e-07,0.0,-5.369469704419316e-07,-5.558865154853265e-07,-1.5746853705422836e-06,-4.1017855778591183e-07,0.0,0.0,0.0
66,2018-10-13,4.954976020599133e-07,6.121452997831511e-07,2.2571106228497229e-07,7.235426551233104e-07,5.47281729268434e-07,-6.329705826146892e-08,1.514995005891251e-06,3.7004267028351023e-07,1.3920178787429904e-08
67,2018-10-14,1.8893778985784593e-07,-2.2235083108057552e-08,-2.043198321644013e-08,-1.9595255196236394e-08,-5.39306029168074e-07,1.8955766734052304e-07,2.426415335321508e-07,2.839159378709155e-07,-4.6396742447996075e-08
68,2018-10-17,0.0,0.0,3.031597373137629e-07,0.0,-4.9115648437236814e-08,0.0,1.2596908405271279e-08,0.0,0.0
69,2018-10-18,-1.0937407779465502e-07,-3.148458631585527e-07,-8.202042067750881e-08,0.0,0.0,4.817536236600972e-08,3.491313975700905e-07,-5.975526740087389e-09,0.0
